大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
东京大学	The University of Tokyo	日本, 亚洲	USNEWS世界大学排名	2015	24	24
京都大学	Kyoto University	日本, 亚洲	USNEWS世界大学排名	2015	60	60
大阪大学	Osaka University	日本, 亚洲	USNEWS世界大学排名	2015	111	111
东北大学，仙台	Tohoku University	日本, 亚洲	USNEWS世界大学排名	2015	129	129
东京工业大学	Tokyo Institute of Technology	日本, 亚洲	USNEWS世界大学排名	2015	164	164
名古屋大学	Nagoya University	日本, 亚洲	USNEWS世界大学排名	2015	167	167
北海道大学	Hokkaido University	日本, 亚洲	USNEWS世界大学排名	2015	244	244
筑波大学	University of Tsukuba	日本, 亚洲	USNEWS世界大学排名	2015	248	248
九州大学	Kyushu University	日本, 亚洲	USNEWS世界大学排名	2015	250	250
早稻田大学	Waseda University	日本, 亚洲	USNEWS世界大学排名	2015	284	284
广岛大学	Hiroshima University	日本, 亚洲	USNEWS世界大学排名	2015	343	343
庆应义塾大学	Keio University	日本, 亚洲	USNEWS世界大学排名	2015	364	364
冈山大学	Okayama University	日本, 亚洲	USNEWS世界大学排名	2015	377	377
神户大学	Kobe University	日本, 亚洲	USNEWS世界大学排名	2015	401	401
东京医牙大学	Tokyo Medical And Dental University	日本, 亚洲	USNEWS世界大学排名	2015	462	462
东京都立大学	Tokyo Metropolitan University	日本, 亚洲	USNEWS世界大学排名	2015	462	462
千叶大学	Chiba University	日本, 亚洲	USNEWS世界大学排名	2015	473	473
