大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
牛津大学	University of Oxford	英国, 欧洲	USNEWS世界大学排名	2025	4	4
剑桥大学	University of Cambridge	英国, 欧洲	USNEWS世界大学排名	2025	6	6
伦敦大学学院	University College London	英国, 欧洲	USNEWS世界大学排名	2025	7	7
帝国理工学院	Imperial College London	英国, 欧洲	USNEWS世界大学排名	2025	12	12
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	USNEWS世界大学排名	2025	33	33
阿姆斯特丹大学	University of Amsterdam	荷兰, 欧洲	USNEWS世界大学排名	2025	33	33
伦敦国王学院	King's College London	英国, 欧洲	USNEWS世界大学排名	2025	36	36
爱丁堡大学	The University of Edinburgh	英国, 欧洲	USNEWS世界大学排名	2025	38	38
巴黎城大学	Université Paris Cité	法国, 欧洲	USNEWS世界大学排名	2025	43	43
哥本哈根大学	University of Copenhagen	丹麦, 欧洲	USNEWS世界大学排名	2025	44	44
乌得勒支大学	Utrecht University	荷兰, 欧洲	USNEWS世界大学排名	2025	46	46
柏林洪堡大学	Humboldt University of Berlin	德国, 欧洲	USNEWS世界大学排名	2025	48	48
鲁汶大学，佛兰德语	Ku Leuven	比利时, 欧洲	USNEWS世界大学排名	2025	48	48
卡罗林斯卡学院	Karolinska Institute	瑞典, 欧洲	USNEWS世界大学排名	2025	51	51
慕尼黑大学	University of Munich	德国, 欧洲	USNEWS世界大学排名	2025	53	53
海德堡大学	Heidelberg University	德国, 欧洲	USNEWS世界大学排名	2025	55	55
莱顿大学	Leiden University	荷兰, 欧洲	USNEWS世界大学排名	2025	56	56
索邦大学	Sorbonne University	法国, 欧洲	USNEWS世界大学排名	2025	56	56
苏黎世大学	University of Zurich	瑞士, 欧洲	USNEWS世界大学排名	2025	60	60
格拉斯哥大学	The University of Glasgow	英国, 欧洲	USNEWS世界大学排名	2025	61	61
柏林自由大学	Free University of Berlin	德国, 欧洲	USNEWS世界大学排名	2025	66	66
曼彻斯特大学	The University of Manchester	英国, 欧洲	USNEWS世界大学排名	2025	67	67
伊拉兹马斯大学	Erasmus University Rotterdam	荷兰, 欧洲	USNEWS世界大学排名	2025	70	70
萨克雷大学(巴黎第十一大学)	Universite Paris Saclay (university of Paris-sud, Paris 11)	法国, 欧洲	USNEWS世界大学排名	2025	76	76
格罗宁根大学	University of Groningen	荷兰, 欧洲	USNEWS世界大学排名	2025	76	76
阿姆斯特丹自由大学	Vu University Amsterdam	荷兰, 欧洲	USNEWS世界大学排名	2025	78	78
巴塞罗那大学	University of Barcelona	西班牙, 欧洲	USNEWS世界大学排名	2025	79	79
慕尼黑工业大学	Technical University of Munich	德国, 欧洲	USNEWS世界大学排名	2025	82	82
巴黎综合理工学院	Ecole Polytechnique	法国, 欧洲	USNEWS世界大学排名	2025	88	88
伦敦大学玛丽女王学院	Queen Mary University of London	英国, 欧洲	USNEWS世界大学排名	2025	92	92
伯明翰大学	University of Birmingham	英国, 欧洲	USNEWS世界大学排名	2025	94	94
布里斯托尔大学	University of Bristol	英国, 欧洲	USNEWS世界大学排名	2025	96	96
奥斯陆大学	University of Oslo	挪威, 欧洲	USNEWS世界大学排名	2025	104	104
根特大学	Ghent University	比利时, 欧洲	USNEWS世界大学排名	2025	109	109
伯尔尼大学	University of Bern	瑞士, 欧洲	USNEWS世界大学排名	2025	111	111
巴黎文理研究大学	Université Psl	法国, 欧洲	USNEWS世界大学排名	2025	112	112
赫尔辛基大学	University of Helsinki	芬兰, 欧洲	USNEWS世界大学排名	2025	113	113
瓦格宁根大学	University of Wageningen	荷兰, 欧洲	USNEWS世界大学排名	2025	113	113
奥胡斯大学	Aarhus University	丹麦, 欧洲	USNEWS世界大学排名	2025	117	117
奈梅亨大学	Radboud University Nijmegen	荷兰, 欧洲	USNEWS世界大学排名	2025	117	117
日内瓦大学	University of Geneva	瑞士, 欧洲	USNEWS世界大学排名	2025	119	119
伦敦大学卫生和热带医学学院	London School of Hygiene & Tropical Medicine	英国, 欧洲	USNEWS世界大学排名	2025	121	121
埃克塞特大学	University of Exeter	英国, 欧洲	USNEWS世界大学排名	2025	122	122
南安普敦大学	University of Southampton	英国, 欧洲	USNEWS世界大学排名	2025	123	123
隆德大学	Lund University	瑞典, 欧洲	USNEWS世界大学排名	2025	125	125
博洛尼亚大学	University of Bologna	意大利, 欧洲	USNEWS世界大学排名	2025	130	130
帕多瓦大学	University of Padua	意大利, 欧洲	USNEWS世界大学排名	2025	130	130
巴塞罗那自治大学	Autonomous University of Barcelona	西班牙, 欧洲	USNEWS世界大学排名	2025	133	133
利物浦大学	University of Liverpool	英国, 欧洲	USNEWS世界大学排名	2025	137	137
罗马第一大学	Sapienza University of Rome	意大利, 欧洲	USNEWS世界大学排名	2025	140	140
利兹大学	University of Leeds	英国, 欧洲	USNEWS世界大学排名	2025	141	141
诺丁汉大学	University of Nottingham	英国, 欧洲	USNEWS世界大学排名	2025	142	142
