大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
哈佛大学	Harvard University	美国, 北美洲	USNEWS世界大学排名	2020	1	1
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	USNEWS世界大学排名	2020	2	2
斯坦福大学	Stanford University	美国, 北美洲	USNEWS世界大学排名	2020	3	3
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	USNEWS世界大学排名	2020	4	4
加州理工学院	California Institute of Technology	美国, 北美洲	USNEWS世界大学排名	2020	6	6
哥伦比亚大学	Columbia University	美国, 北美洲	USNEWS世界大学排名	2020	7	7
普林斯顿大学	Princeton University	美国, 北美洲	USNEWS世界大学排名	2020	8	8
华盛顿大学-西雅图	University of Washington	美国, 北美洲	USNEWS世界大学排名	2020	10	10
约翰霍普金斯大学	Johns Hopkins University	美国, 北美洲	USNEWS世界大学排名	2020	11	11
耶鲁大学	Yale University	美国, 北美洲	USNEWS世界大学排名	2020	12	12
芝加哥大学	University of Chicago	美国, 北美洲	USNEWS世界大学排名	2020	13	13
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	USNEWS世界大学排名	2020	14	14
加州大学-旧金山	University of California, San Francisco	美国, 北美洲	USNEWS世界大学排名	2020	15	15
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	USNEWS世界大学排名	2020	16	16
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	USNEWS世界大学排名	2020	17	17
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	USNEWS世界大学排名	2020	19	19
杜克大学	Duke University	美国, 北美洲	USNEWS世界大学排名	2020	22	22
康奈尔大学	Cornell University	美国, 北美洲	USNEWS世界大学排名	2020	23	23
西北大学，埃文斯顿	Northwestern University	美国, 北美洲	USNEWS世界大学排名	2020	24	24
纽约大学	New York University	美国, 北美洲	USNEWS世界大学排名	2020	28	28
华盛顿大学-圣路易斯	Washington University In St. Louis	美国, 北美洲	USNEWS世界大学排名	2020	31	31
北卡罗来纳大学-教堂山	University of North Carolina At Chapel Hill	美国, 北美洲	USNEWS世界大学排名	2020	33	33
德克萨斯州大学-奥斯汀	The University of Texas At Austin	美国, 北美洲	USNEWS世界大学排名	2020	34	34
威斯康星大学-麦迪逊	University of Wisconsin, Madison	美国, 北美洲	USNEWS世界大学排名	2020	37	37
加州大学-圣塔芭芭拉	University of California, Santa Barbara	美国, 北美洲	USNEWS世界大学排名	2020	41	41
俄亥俄州立大学-哥伦布	The Ohio State University, Columbus	美国, 北美洲	USNEWS世界大学排名	2020	45	45
明尼苏达大学-双城	University of Minnesota, Twin Cities	美国, 北美洲	USNEWS世界大学排名	2020	47	47
匹兹堡大学	University of Pittsburgh	美国, 北美洲	USNEWS世界大学排名	2020	47	47
科罗拉多大学-玻尔得	University of Colorado At Boulder	美国, 北美洲	USNEWS世界大学排名	2020	50	50
波士顿大学	Boston University	美国, 北美洲	USNEWS世界大学排名	2020	51	51
马里兰大学-大学城	University of Maryland, College Park	美国, 北美洲	USNEWS世界大学排名	2020	51	51
伊利诺伊大学厄巴纳-香槟分校	University of Illinois At Urbana-champaign	美国, 北美洲	USNEWS世界大学排名	2020	59	59
佐治亚理工学院	Georgia Institute of Technology	美国, 北美洲	USNEWS世界大学排名	2020	62	62
洛克菲勒大学	Rockefeller University	美国, 北美洲	USNEWS世界大学排名	2020	62	62
加州大学-戴维斯	University of California, Davis	美国, 北美洲	USNEWS世界大学排名	2020	64	64
西奈山医学院	Icahn School of Medicine At Mount Sinai	美国, 北美洲	USNEWS世界大学排名	2020	67	67
南加州大学	University of Southern California	美国, 北美洲	USNEWS世界大学排名	2020	69	69
