大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
清华大学	Tsinghua University	中国, 亚洲, C9, 双一流, 985, 211, 北京, 综合类, 公立	计算机科学	2023	1	1
斯坦福大学	Stanford University	美国, 北美洲	计算机科学	2023	2	2
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	计算机科学	2023	3	3
卡内基梅隆大学	Carnegie Mellon University	美国, 北美洲	计算机科学	2023	4	4
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	计算机科学	2023	5	5
南洋理工大学	Nanyang Technological University	新加坡, 亚洲	计算机科学	2023	6	6
新加坡国立大学	National University of Singapore	新加坡, 亚洲	计算机科学	2023	6	6
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	计算机科学	2023	8	8
北京大学	Peking University	中国, 亚洲, C9, 双一流, 985, 211, 北京, 综合类, 公立	计算机科学	2023	9	9
香港中文大学	The Chinese University of Hong Kong	中国香港, 亚洲	计算机科学	2023	10	10
牛津大学	University of Oxford	英国, 欧洲	计算机科学	2023	11	11
浙江大学	Zhejiang University	中国, 亚洲, C9, 双一流, 985, 211, 浙江, 综合类, 公立	计算机科学	2023	12	12
上海交通大学	Shanghai Jiao Tong University	中国, 亚洲, C9, 双一流, 985, 211, 上海, 综合类, 公立	计算机科学	2023	13	13
华盛顿大学-西雅图	University of Washington	美国, 北美洲	计算机科学	2023	14	14
悉尼科技大学	University of Technology Sydney	澳大利亚, 大洋洲	计算机科学	2023	15	15
电子科技大学	University of Electronic Science And Technology of China	中国, 亚洲, 双一流, 985, 211, 四川, 理工类, 公立	计算机科学	2023	16	16
哈佛大学	Harvard University	美国, 北美洲	计算机科学	2023	17	17
慕尼黑工业大学	Technical University of Munich	德国, 欧洲	计算机科学	2023	17	17
华中科技大学	Huazhong University of Science And Technology	中国, 亚洲, 双一流, 985, 211, 湖北, 综合类, 公立	计算机科学	2023	19	19
武汉大学	Wuhan University	中国, 亚洲, 双一流, 985, 211, 湖北, 综合类, 公立	计算机科学	2023	19	19
伊利诺伊大学厄巴纳-香槟分校	University of Illinois At Urbana-champaign	美国, 北美洲	计算机科学	2023	21	21
佐治亚理工学院	Georgia Institute of Technology	美国, 北美洲	计算机科学	2023	22	22
康奈尔大学	Cornell University	美国, 北美洲	计算机科学	2023	23	23
马里兰大学-大学城	University of Maryland, College Park	美国, 北美洲	计算机科学	2023	24	24
伦敦大学学院	University College London	英国, 欧洲	计算机科学	2023	25	25
哈尔滨工业大学	Harbin Institute of Technology	中国, 亚洲, C9, 双一流, 985, 211, 黑龙江, 理工类, 公立	计算机科学	2023	26	26
多伦多大学	University of Toronto	加拿大, 北美洲	计算机科学	2023	27	27
中国科学技术大学	University of Science And Technology of China	中国, 亚洲, C9, 双一流, 985, 211, 安徽, 理工类, 公立	计算机科学	2023	28	28
悉尼大学	The University of Sydney	澳大利亚, 大洋洲	计算机科学	2023	29	29
中国科学院大学	University of Chinese Academy of Sciences	中国, 亚洲, 北京, 综合类, 公立	计算机科学	2023	30	30
香港科技大学	The Hong Kong University of Science And Technology	中国香港, 亚洲	计算机科学	2023	31	31
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	计算机科学	2023	32	32
帝国理工学院	Imperial College London	英国, 欧洲	计算机科学	2023	33	33
香港理工大学	The Hong Kong Polytechnic University	中国香港, 亚洲	计算机科学	2023	34	34
阿卜杜勒阿齐兹国王大学	King Abdulaziz University	沙特, 亚洲	计算机科学	2023	35	35
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	计算机科学	2023	36	36
香港城市大学	City University of Hong Kong	中国香港, 亚洲	计算机科学	2023	37	37
西安电子科技大学	Xidian University	中国, 亚洲, 211, 陕西, 理工类, 公立	计算机科学	2023	38	38
南京大学	Nanjing University	中国, 亚洲, C9, 双一流, 985, 211, 江苏, 综合类, 公立	计算机科学	2023	39	39
普林斯顿大学	Princeton University	美国, 北美洲	计算机科学	2023	40	40
阿德雷德大学	The University of Adelaide	澳大利亚, 大洋洲	计算机科学	2023	41	41
剑桥大学	University of Cambridge	英国, 欧洲	计算机科学	2023	41	41
北京航空航天大学	Beihang University	中国, 亚洲, 双一流, 985, 211, 北京, 理工类, 公立	计算机科学	2023	43	43
巴黎综合理工学院	Ecole Polytechnique	法国, 欧洲	计算机科学	2023	44	44
哥伦比亚大学	Columbia University	美国, 北美洲	计算机科学	2023	45	45
中山大学	Sun Yat-sen University, Sysu	中国, 亚洲, 双一流, 985, 211, 广东, 综合类, 公立	计算机科学	2023	46	46
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	计算机科学	2023	46	46
新南威尔士大学	The University of New South Wales	澳大利亚, 大洋洲	计算机科学	2023	48	48
南加州大学	University of Southern California	美国, 北美洲	计算机科学	2023	49	49
西北工业大学	Northwestern Polytechnical University	中国, 亚洲, 双一流, 985, 211, 陕西, 理工类, 公立	计算机科学	2023	50	50
东南大学	Southeast University	中国, 亚洲, 双一流, 985, 211, 江苏, 综合类, 公立	计算机科学	2023	51	51
滑铁卢大学	University of Waterloo	加拿大, 北美洲	计算机科学	2023	51	51
爱丁堡大学	The University of Edinburgh	英国, 欧洲	计算机科学	2023	53	53
德克萨斯州大学-奥斯汀	The University of Texas At Austin	美国, 北美洲	计算机科学	2023	54	54
纽约大学	New York University	美国, 北美洲	计算机科学	2023	55	55
英属哥伦比亚大学	University of British Columbia	加拿大, 北美洲	计算机科学	2023	56	56
西安交通大学	Xian Jiaotong University	中国, 亚洲, C9, 双一流, 985, 211, 陕西, 综合类, 公立	计算机科学	2023	57	57
约翰霍普金斯大学	Johns Hopkins University	美国, 北美洲	计算机科学	2023	58	58
北京邮电大学	Beijing University of Posts And Telecommunications	中国, 亚洲, 211, 北京, 理工类, 公立	计算机科学	2023	59	59
韩国科学技术院	Korea Advanced Institute of Science And Technology	韩国, 亚洲	计算机科学	2023	60	60
莫纳什大学	Monash University	澳大利亚, 大洋洲	计算机科学	2023	60	60
鲁汶大学，佛兰德语	Ku Leuven	比利时, 欧洲	计算机科学	2023	62	62
北京理工大学	Beijing Institute of Technology	中国, 亚洲, 双一流, 985, 211, 北京, 理工类, 公立	计算机科学	2023	63	63
澳大利亚国立大学	The Australian National University	澳大利亚, 大洋洲	计算机科学	2023	64	64
代尔夫特理工大学	Delft University of Technology	荷兰, 欧洲	计算机科学	2023	65	65
复旦大学	Fudan University	中国, 亚洲, C9, 双一流, 985, 211, 上海, 综合类, 公立	计算机科学	2023	66	66
墨尔本大学	The University of Melbourne	澳大利亚, 大洋洲	计算机科学	2023	66	66
普渡大学-西拉法叶	Purdue University, West Lafayette	美国, 北美洲	计算机科学	2023	68	68
威斯康星大学-麦迪逊	University of Wisconsin, Madison	美国, 北美洲	计算机科学	2023	69	69
沙特国王大学	King Saud University	沙特, 亚洲	计算机科学	2023	70	70
阿尔托大学	Aalto University	芬兰, 欧洲	计算机科学	2023	71	71
萨克雷大学(巴黎第十一大学)	Universite Paris Saclay (university of Paris-sud, Paris 11)	法国, 欧洲	计算机科学	2023	72	72
密歇根州立大学	Michigan State University	美国, 北美洲	计算机科学	2023	73	73
蒙特利尔大学	University of Montreal	加拿大, 北美洲	计算机科学	2023	74	74
首尔国立大学	Seoul National University	韩国, 亚洲	计算机科学	2023	75	75
昆士兰大学	The University of Queensland	澳大利亚, 大洋洲	计算机科学	2023	76	76
香港大学	The University of Hong Kong	中国香港, 亚洲	计算机科学	2023	77	77
加州理工学院	California Institute of Technology	美国, 北美洲	计算机科学	2023	78	78
宾夕法尼亚州立大学-大学城	Pennsylvania State University, University Park	美国, 北美洲	计算机科学	2023	79	79
华南理工大学	South China University of Technology	中国, 亚洲, 双一流, 985, 211, 广东, 理工类, 公立	计算机科学	2023	79	79
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	计算机科学	2023	79	79
东京大学	The University of Tokyo	日本, 亚洲	计算机科学	2023	82	82
斯威本科技大学	Swinburne University of Technology	澳大利亚, 大洋洲	计算机科学	2023	83	83
巴黎城大学	Université Paris Cité	法国, 欧洲	计算机科学	2023	84	84
罗格斯大学新布朗斯维克分校	Rutgers, The State University of New Jersey - New Brunswick	美国, 北美洲	计算机科学	2023	85	85
马来亚大学	University of Malaya	马来西亚, 亚洲	计算机科学	2023	85	85
亚利桑那州立大学	Arizona State University	美国, 北美洲	计算机科学	2023	87	87
大连理工大学	Dalian University of Technology	中国, 亚洲, 双一流, 985, 211, 辽宁, 理工类, 公立	计算机科学	2023	87	87
米兰理工大学	Polytechnic Institute of Milan	意大利, 欧洲	计算机科学	2023	87	87
