大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	计算机科学	2016	18	18
伦敦大学学院	University College London	英国, 欧洲	计算机科学	2016	20	20
剑桥大学	University of Cambridge	英国, 欧洲	计算机科学	2016	23	23
爱丁堡大学	The University of Edinburgh	英国, 欧洲	计算机科学	2016	26	26
洛桑联邦理工学院	Swiss Federal Institute of Technology Lausanne	瑞士, 欧洲	计算机科学	2016	29	29
帝国理工学院	Imperial College London	英国, 欧洲	计算机科学	2016	30	30
牛津大学	University of Oxford	英国, 欧洲	计算机科学	2016	30	30
鲁汶大学，佛兰德语	Ku Leuven	比利时, 欧洲	计算机科学	2016	33	33
慕尼黑工业大学	Technical University of Munich	德国, 欧洲	计算机科学	2016	35	35
加泰罗尼亚理工大学	Polytechnic University of Catalonia	西班牙, 欧洲	计算机科学	2016	43	43
皇家理工学院	Kth Royal Institute of Technology	瑞典, 欧洲	计算机科学	2016	54	54
曼彻斯特大学	The University of Manchester	英国, 欧洲	计算机科学	2016	60	60
代尔夫特理工大学	Delft University of Technology	荷兰, 欧洲	计算机科学	2016	61	61
米兰理工大学	Polytechnic Institute of Milan	意大利, 欧洲	计算机科学	2016	62	62
埃因霍温工业大学	Eindhoven University of Technology	荷兰, 欧洲	计算机科学	2016	63	63
格拉纳达大学	University of Granada	西班牙, 欧洲	计算机科学	2016	65	65
柏林洪堡大学	Humboldt University of Berlin	德国, 欧洲	计算机科学	2016	70	70
根特大学	Ghent University	比利时, 欧洲	计算机科学	2016	76	76
维也纳工业大学	Vienna University of Technology	奥地利, 欧洲	计算机科学	2016	78	78
阿尔托大学	Aalto University	芬兰, 欧洲	计算机科学	2016	83	83
伦敦国王学院	King's College London	英国, 欧洲	计算机科学	2016	88	88
博洛尼亚大学	University of Bologna	意大利, 欧洲	计算机科学	2016	90	90
