大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
哈佛大学	Harvard University	美国, 北美洲	USNEWS世界大学排名	2015	1	1
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	USNEWS世界大学排名	2015	2	2
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	USNEWS世界大学排名	2015	3	3
斯坦福大学	Stanford University	美国, 北美洲	USNEWS世界大学排名	2015	4	4
牛津大学	University of Oxford	英国, 欧洲	USNEWS世界大学排名	2015	5	5
剑桥大学	University of Cambridge	英国, 欧洲	USNEWS世界大学排名	2015	6	6
加州理工学院	California Institute of Technology	美国, 北美洲	USNEWS世界大学排名	2015	7	7
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	USNEWS世界大学排名	2015	8	8
芝加哥大学	University of Chicago	美国, 北美洲	USNEWS世界大学排名	2015	9	9
哥伦比亚大学	Columbia University	美国, 北美洲	USNEWS世界大学排名	2015	10	10
约翰霍普金斯大学	Johns Hopkins University	美国, 北美洲	USNEWS世界大学排名	2015	11	11
帝国理工学院	Imperial College London	英国, 欧洲	USNEWS世界大学排名	2015	12	12
普林斯顿大学	Princeton University	美国, 北美洲	USNEWS世界大学排名	2015	13	13
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	USNEWS世界大学排名	2015	14	14
多伦多大学	University of Toronto	加拿大, 北美洲	USNEWS世界大学排名	2015	14	14
华盛顿大学-西雅图	University of Washington	美国, 北美洲	USNEWS世界大学排名	2015	14	14
耶鲁大学	Yale University	美国, 北美洲	USNEWS世界大学排名	2015	17	17
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	USNEWS世界大学排名	2015	18	18
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	USNEWS世界大学排名	2015	19	19
杜克大学	Duke University	美国, 北美洲	USNEWS世界大学排名	2015	20	20
伦敦大学学院	University College London	英国, 欧洲	USNEWS世界大学排名	2015	21	21
加州大学-旧金山	University of California, San Francisco	美国, 北美洲	USNEWS世界大学排名	2015	22	22
康奈尔大学	Cornell University	美国, 北美洲	USNEWS世界大学排名	2015	23	23
东京大学	The University of Tokyo	日本, 亚洲	USNEWS世界大学排名	2015	24	24
西北大学，埃文斯顿	Northwestern University	美国, 北美洲	USNEWS世界大学排名	2015	25	25
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	USNEWS世界大学排名	2015	26	26
威斯康星大学-麦迪逊	University of Wisconsin, Madison	美国, 北美洲	USNEWS世界大学排名	2015	27	27
加州大学-圣塔芭芭拉	University of California, Santa Barbara	美国, 北美洲	USNEWS世界大学排名	2015	28	28
明尼苏达大学-双城	University of Minnesota, Twin Cities	美国, 北美洲	USNEWS世界大学排名	2015	29	29
英属哥伦比亚大学	University of British Columbia	加拿大, 北美洲	USNEWS世界大学排名	2015	30	30
德克萨斯州大学-奥斯汀	The University of Texas At Austin	美国, 北美洲	USNEWS世界大学排名	2015	30	30
墨尔本大学	The University of Melbourne	澳大利亚, 大洋洲	USNEWS世界大学排名	2015	32	32
北卡罗来纳大学-教堂山	University of North Carolina At Chapel Hill	美国, 北美洲	USNEWS世界大学排名	2015	32	32
俄亥俄州立大学-哥伦布	The Ohio State University, Columbus	美国, 北美洲	USNEWS世界大学排名	2015	34	34
伊利诺伊大学厄巴纳-香槟分校	University of Illinois At Urbana-champaign	美国, 北美洲	USNEWS世界大学排名	2015	35	35
纽约大学	New York University	美国, 北美洲	USNEWS世界大学排名	2015	36	36
