大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
牛津大学	University of Oxford	英国, 欧洲	USNEWS世界大学排名	2022	5	5
剑桥大学	University of Cambridge	英国, 欧洲	USNEWS世界大学排名	2022	8	8
伦敦大学学院	University College London	英国, 欧洲	USNEWS世界大学排名	2022	16	16
帝国理工学院	Imperial College London	英国, 欧洲	USNEWS世界大学排名	2022	20	20
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	USNEWS世界大学排名	2022	26	26
爱丁堡大学	The University of Edinburgh	英国, 欧洲	USNEWS世界大学排名	2022	32	32
伦敦国王学院	King's College London	英国, 欧洲	USNEWS世界大学排名	2022	33	33
哥本哈根大学	University of Copenhagen	丹麦, 欧洲	USNEWS世界大学排名	2022	37	37
阿姆斯特丹大学	University of Amsterdam	荷兰, 欧洲	USNEWS世界大学排名	2022	38	38
索邦大学	Sorbonne University	法国, 欧洲	USNEWS世界大学排名	2022	46	46
慕尼黑大学	University of Munich	德国, 欧洲	USNEWS世界大学排名	2022	46	46
鲁汶大学，佛兰德语	Ku Leuven	比利时, 欧洲	USNEWS世界大学排名	2022	48	48
卡罗林斯卡学院	Karolinska Institute	瑞典, 欧洲	USNEWS世界大学排名	2022	48	48
乌得勒支大学	Utrecht University	荷兰, 欧洲	USNEWS世界大学排名	2022	48	48
海德堡大学	Heidelberg University	德国, 欧洲	USNEWS世界大学排名	2022	54	54
曼彻斯特大学	The University of Manchester	英国, 欧洲	USNEWS世界大学排名	2022	58	58
萨克雷大学(巴黎第十一大学)	Universite Paris Saclay (university of Paris-sud, Paris 11)	法国, 欧洲	USNEWS世界大学排名	2022	60	60
伊拉兹马斯大学	Erasmus University Rotterdam	荷兰, 欧洲	USNEWS世界大学排名	2022	62	62
苏黎世大学	University of Zurich	瑞士, 欧洲	USNEWS世界大学排名	2022	64	64
巴黎大学	Université De Paris	法国, 欧洲	USNEWS世界大学排名	2022	67	67
洛桑联邦理工学院	Swiss Federal Institute of Technology Lausanne	瑞士, 欧洲	USNEWS世界大学排名	2022	70	70
慕尼黑工业大学	Technical University of Munich	德国, 欧洲	USNEWS世界大学排名	2022	74	74
柏林洪堡大学	Humboldt University of Berlin	德国, 欧洲	USNEWS世界大学排名	2022	78	78
瓦格宁根大学	University of Wageningen	荷兰, 欧洲	USNEWS世界大学排名	2022	80	80
莱顿大学	Leiden University	荷兰, 欧洲	USNEWS世界大学排名	2022	82	82
格拉斯哥大学	The University of Glasgow	英国, 欧洲	USNEWS世界大学排名	2022	84	84
阿姆斯特丹自由大学	Vu University Amsterdam	荷兰, 欧洲	USNEWS世界大学排名	2022	84	84
巴塞罗那大学	University of Barcelona	西班牙, 欧洲	USNEWS世界大学排名	2022	87	87
格罗宁根大学	University of Groningen	荷兰, 欧洲	USNEWS世界大学排名	2022	88	88
奥斯陆大学	University of Oslo	挪威, 欧洲	USNEWS世界大学排名	2022	90	90
伯明翰大学	University of Birmingham	英国, 欧洲	USNEWS世界大学排名	2022	91	91
根特大学	Ghent University	比利时, 欧洲	USNEWS世界大学排名	2022	92	92
布里斯托尔大学	University of Bristol	英国, 欧洲	USNEWS世界大学排名	2022	92	92
赫尔辛基大学	University of Helsinki	芬兰, 欧洲	USNEWS世界大学排名	2022	94	94
柏林自由大学	Free University of Berlin	德国, 欧洲	USNEWS世界大学排名	2022	95	95
隆德大学	Lund University	瑞典, 欧洲	USNEWS世界大学排名	2022	95	95
