大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
华沙大学	University of Warsaw	波兰, 欧洲	USNEWS世界大学排名	2021	301	301
克拉科夫雅盖隆大学	Jagiellonian University	波兰, 欧洲	USNEWS世界大学排名	2021	329	329
华沙工业大学	Warsaw University of Technology	波兰, 欧洲	USNEWS世界大学排名	2021	618	618
矿业冶金学院	Agh University of Science And Technology	波兰, 欧洲	USNEWS世界大学排名	2021	679	679
波兹南密茨凯维奇大学	Adam Mickiewicz University	波兰, 欧洲	USNEWS世界大学排名	2021	807	807
弗罗茨瓦夫医科大学	Wroclaw Medical University	波兰, 欧洲	USNEWS世界大学排名	2021	902	902
弗罗茨瓦夫大学	University of Wroclaw	波兰, 欧洲	USNEWS世界大学排名	2021	922	922
弗罗茨瓦夫理工大学	Wroclaw University of Technology	波兰, 欧洲	USNEWS世界大学排名	2021	1031	1,031
格但斯克医科大学	Medical University of Gdańsk	波兰, 欧洲	USNEWS世界大学排名	2021	1083	1,083
哥白尼大学	Nicolaus Copernicus University	波兰, 欧洲	USNEWS世界大学排名	2021	1083	1,083
华沙医科大学	Medical University of Warsaw	波兰, 欧洲	USNEWS世界大学排名	2021	1113	1,113
格但斯克工业大学	Gdansk University of Technology	波兰, 欧洲	USNEWS世界大学排名	2021	1174	1,174
格但斯克大学	University of Gdansk	波兰, 欧洲	USNEWS世界大学排名	2021	1187	1,187
罗兹大学	University of Lodz	波兰, 欧洲	USNEWS世界大学排名	2021	1226	1,226
卡托维兹西里西亚大学	University of Silesia	波兰, 欧洲	USNEWS世界大学排名	2021	1232	1,232
波兹南工业大学	Poznań University of Technology	波兰, 欧洲	USNEWS世界大学排名	2021	1238	1,238
罗兹医科大学	Medical University of Lodz	波兰, 欧洲	USNEWS世界大学排名	2021	1247	1,247
华沙中央农村经济学院	Warsaw University of Life Sciences – Sggw, Wuls-sggw	波兰, 欧洲	USNEWS世界大学排名	2021	1281	1,281
罗兹科技大学	Technical University of Lodz	波兰, 欧洲	USNEWS世界大学排名	2021	1288	1,288
波兹南医科大学	Poznan University of Medical Sciences	波兰, 欧洲	USNEWS世界大学排名	2021	1413	1,413
玛丽亚•斯克沃多夫斯卡-居里大学	Maria Curie-skłodowska University	波兰, 欧洲	USNEWS世界大学排名	2021	1441	1,441
奥尔什丁瓦尔米亚玛祖里大学	University of Warmia And Mazury In Olsztyn	波兰, 欧洲	USNEWS世界大学排名	2021	1462	1,462
西里西亚工业大学	Silesian University of Technology	波兰, 欧洲	USNEWS世界大学排名	2021	1480	1,480
克拉科夫工业大学	Cracow University of Technology	波兰, 欧洲	USNEWS世界大学排名	2021	1483	1,483
卢布林工业大学	Lublin University of Technology	波兰, 欧洲	USNEWS世界大学排名	2021	9999	Unranked
比亚韦斯托克医科大学	Medical University of Białystok	波兰, 欧洲	USNEWS世界大学排名	2021	9999	Unranked
卢布林医科大学	Medical University of Lublin	波兰, 欧洲	USNEWS世界大学排名	2021	9999	Unranked
西里西亚医科大学	Medical University of Silesia	波兰, 欧洲	USNEWS世界大学排名	2021	9999	Unranked
波美拉尼亚医科大学	Pomeranian Medical University In Szczecin	波兰, 欧洲	USNEWS世界大学排名	2021	9999	Unranked
波兹南生命科学大学	Poznań University of Life Sciences	波兰, 欧洲	USNEWS世界大学排名	2021	9999	Unranked
克拉科夫农业大学	University of Agriculture In Krakow	波兰, 欧洲	USNEWS世界大学排名	2021	9999	Unranked
