大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
哈佛大学	Harvard University	美国, 北美洲	USNEWS世界大学排名	2018	1	1
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	USNEWS世界大学排名	2018	2	2
斯坦福大学	Stanford University	美国, 北美洲	USNEWS世界大学排名	2018	3	3
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	USNEWS世界大学排名	2018	4	4
加州理工学院	California Institute of Technology	美国, 北美洲	USNEWS世界大学排名	2018	6	6
哥伦比亚大学	Columbia University	美国, 北美洲	USNEWS世界大学排名	2018	8	8
普林斯顿大学	Princeton University	美国, 北美洲	USNEWS世界大学排名	2018	9	9
约翰霍普金斯大学	Johns Hopkins University	美国, 北美洲	USNEWS世界大学排名	2018	10	10
华盛顿大学-西雅图	University of Washington	美国, 北美洲	USNEWS世界大学排名	2018	10	10
耶鲁大学	Yale University	美国, 北美洲	USNEWS世界大学排名	2018	10	10
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	USNEWS世界大学排名	2018	13	13
芝加哥大学	University of Chicago	美国, 北美洲	USNEWS世界大学排名	2018	14	14
加州大学-旧金山	University of California, San Francisco	美国, 北美洲	USNEWS世界大学排名	2018	15	15
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	USNEWS世界大学排名	2018	16	16
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	USNEWS世界大学排名	2018	17	17
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	USNEWS世界大学排名	2018	19	19
杜克大学	Duke University	美国, 北美洲	USNEWS世界大学排名	2018	21	21
康奈尔大学	Cornell University	美国, 北美洲	USNEWS世界大学排名	2018	23	23
西北大学，埃文斯顿	Northwestern University	美国, 北美洲	USNEWS世界大学排名	2018	24	24
纽约大学	New York University	美国, 北美洲	USNEWS世界大学排名	2018	28	28
加州大学-圣塔芭芭拉	University of California, Santa Barbara	美国, 北美洲	USNEWS世界大学排名	2018	28	28
威斯康星大学-麦迪逊	University of Wisconsin, Madison	美国, 北美洲	USNEWS世界大学排名	2018	31	31
德克萨斯州大学-奥斯汀	The University of Texas At Austin	美国, 北美洲	USNEWS世界大学排名	2018	32	32
