大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
赫尔辛基大学	University of Helsinki	芬兰, 欧洲	USNEWS世界大学排名	2022	94	94
阿尔托大学	Aalto University	芬兰, 欧洲	USNEWS世界大学排名	2022	275	275
图尔库大学	University of Turku	芬兰, 欧洲	USNEWS世界大学排名	2022	327	327
坦佩雷大学	University of Tampere	芬兰, 欧洲	USNEWS世界大学排名	2022	354	354
奥卢大学	University of Oulu	芬兰, 欧洲	USNEWS世界大学排名	2022	422	422
东芬兰大学	University of Eastern Finland	芬兰, 欧洲	USNEWS世界大学排名	2022	441	441
于韦斯屈莱大学	University of Jyvaskyla	芬兰, 欧洲	USNEWS世界大学排名	2022	556	556
拉普兰塔理工大学	Lappeenranta University of Technology	芬兰, 欧洲	USNEWS世界大学排名	2022	635	635
埃博学术大学	Bo Akademi University	芬兰, 欧洲	USNEWS世界大学排名	2022	947	947
汉垦经济学院	Hanken School of Economics	芬兰, 欧洲	USNEWS世界大学排名	2022	9999	Unranked
