大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
清华大学	Tsinghua University	中国, 亚洲, C9, 双一流, 985, 211, 北京, 综合类, 公立	计算机科学	2018	1	1
德克萨斯州大学-奥斯汀	The University of Texas At Austin	美国, 北美洲	计算机科学	2018	2	2
南洋理工大学	Nanyang Technological University	新加坡, 亚洲	计算机科学	2018	3	3
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	计算机科学	2018	4	4
新加坡国立大学	National University of Singapore	新加坡, 亚洲	计算机科学	2018	5	5
斯坦福大学	Stanford University	美国, 北美洲	计算机科学	2018	6	6
哈佛大学	Harvard University	美国, 北美洲	计算机科学	2018	7	7
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	计算机科学	2018	8	8
华中科技大学	Huazhong University of Science And Technology	中国, 亚洲, 双一流, 985, 211, 湖北, 综合类, 公立	计算机科学	2018	9	9
浙江大学	Zhejiang University	中国, 亚洲, C9, 双一流, 985, 211, 浙江, 综合类, 公立	计算机科学	2018	10	10
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	计算机科学	2018	11	11
香港城市大学	City University of Hong Kong	中国香港, 亚洲	计算机科学	2018	12	12
阿卜杜勒阿齐兹国王大学	King Abdulaziz University	沙特, 亚洲	计算机科学	2018	13	13
英属哥伦比亚大学	University of British Columbia	加拿大, 北美洲	计算机科学	2018	14	14
滑铁卢大学	University of Waterloo	加拿大, 北美洲	计算机科学	2018	15	15
佐治亚理工学院	Georgia Institute of Technology	美国, 北美洲	计算机科学	2018	16	16
上海交通大学	Shanghai Jiao Tong University	中国, 亚洲, C9, 双一流, 985, 211, 上海, 综合类, 公立	计算机科学	2018	17	17
南加州大学	University of Southern California	美国, 北美洲	计算机科学	2018	18	18
普林斯顿大学	Princeton University	美国, 北美洲	计算机科学	2018	19	19
东南大学	Southeast University	中国, 亚洲, 双一流, 985, 211, 江苏, 综合类, 公立	计算机科学	2018	20	20
香港科技大学	The Hong Kong University of Science And Technology	中国香港, 亚洲	计算机科学	2018	21	21
卡内基梅隆大学	Carnegie Mellon University	美国, 北美洲	计算机科学	2018	22	22
伦敦大学学院	University College London	英国, 欧洲	计算机科学	2018	23	23
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	计算机科学	2018	24	24
多伦多大学	University of Toronto	加拿大, 北美洲	计算机科学	2018	25	25
北京大学	Peking University	中国, 亚洲, C9, 双一流, 985, 211, 北京, 综合类, 公立	计算机科学	2018	26	26
剑桥大学	University of Cambridge	英国, 欧洲	计算机科学	2018	27	27
北京邮电大学	Beijing University of Posts And Telecommunications	中国, 亚洲, 211, 北京, 理工类, 公立	计算机科学	2018	28	28
洛桑联邦理工学院	Swiss Federal Institute of Technology Lausanne	瑞士, 欧洲	计算机科学	2018	29	29
帝国理工学院	Imperial College London	英国, 欧洲	计算机科学	2018	30	30
香港中文大学	The Chinese University of Hong Kong	中国香港, 亚洲	计算机科学	2018	31	31
墨尔本大学	The University of Melbourne	澳大利亚, 大洋洲	计算机科学	2018	32	32
哈尔滨工业大学	Harbin Institute of Technology	中国, 亚洲, C9, 双一流, 985, 211, 黑龙江, 理工类, 公立	计算机科学	2018	33	33
威斯康星大学-麦迪逊	University of Wisconsin, Madison	美国, 北美洲	计算机科学	2018	34	34
