大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	计算机科学	2021	6	6
牛津大学	University of Oxford	英国, 欧洲	计算机科学	2021	12	12
伦敦大学学院	University College London	英国, 欧洲	计算机科学	2021	17	17
帝国理工学院	Imperial College London	英国, 欧洲	计算机科学	2021	25	25
洛桑联邦理工学院	Swiss Federal Institute of Technology Lausanne	瑞士, 欧洲	计算机科学	2021	28	28
慕尼黑工业大学	Technical University of Munich	德国, 欧洲	计算机科学	2021	29	29
剑桥大学	University of Cambridge	英国, 欧洲	计算机科学	2021	35	35
爱丁堡大学	The University of Edinburgh	英国, 欧洲	计算机科学	2021	51	51
代尔夫特理工大学	Delft University of Technology	荷兰, 欧洲	计算机科学	2021	53	53
鲁汶大学，佛兰德语	Ku Leuven	比利时, 欧洲	计算机科学	2021	55	55
阿尔托大学	Aalto University	芬兰, 欧洲	计算机科学	2021	56	56
皇家理工学院	Kth Royal Institute of Technology	瑞典, 欧洲	计算机科学	2021	76	76
特兰托大学	University of Trento	意大利, 欧洲	计算机科学	2021	78	78
加泰罗尼亚理工大学	Polytechnic University of Catalonia	西班牙, 欧洲	计算机科学	2021	79	79
米兰理工大学	Polytechnic Institute of Milan	意大利, 欧洲	计算机科学	2021	82	82
格拉纳达大学	University of Granada	西班牙, 欧洲	计算机科学	2021	90	90
索邦大学	Sorbonne University	法国, 欧洲	计算机科学	2021	92	92
阿姆斯特丹大学	University of Amsterdam	荷兰, 欧洲	计算机科学	2021	93	93
埃因霍温工业大学	Eindhoven University of Technology	荷兰, 欧洲	计算机科学	2021	98	98
维也纳工业大学	Vienna University of Technology	奥地利, 欧洲	计算机科学	2021	100	100
苏黎世大学	University of Zurich	瑞士, 欧洲	计算机科学	2021	104	104
达姆施塔特工业大学	Technical University Darmstadt	德国, 欧洲	计算机科学	2021	108	108
