大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
斯坦福大学	Stanford University	美国, 北美洲	计算机科学	2022	2	2
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	计算机科学	2022	3	3
卡内基梅隆大学	Carnegie Mellon University	美国, 北美洲	计算机科学	2022	5	5
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	计算机科学	2022	6	6
哈佛大学	Harvard University	美国, 北美洲	计算机科学	2022	14	14
华盛顿大学-西雅图	University of Washington	美国, 北美洲	计算机科学	2022	17	17
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	计算机科学	2022	18	18
伊利诺伊大学厄巴纳-香槟分校	University of Illinois At Urbana-champaign	美国, 北美洲	计算机科学	2022	23	23
佐治亚理工学院	Georgia Institute of Technology	美国, 北美洲	计算机科学	2022	24	24
康奈尔大学	Cornell University	美国, 北美洲	计算机科学	2022	28	28
马里兰大学-大学城	University of Maryland, College Park	美国, 北美洲	计算机科学	2022	29	29
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	计算机科学	2022	32	32
哥伦比亚大学	Columbia University	美国, 北美洲	计算机科学	2022	36	36
普林斯顿大学	Princeton University	美国, 北美洲	计算机科学	2022	45	45
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	计算机科学	2022	46	46
威斯康星大学-麦迪逊	University of Wisconsin, Madison	美国, 北美洲	计算机科学	2022	48	48
德克萨斯州大学-奥斯汀	The University of Texas At Austin	美国, 北美洲	计算机科学	2022	53	53
南加州大学	University of Southern California	美国, 北美洲	计算机科学	2022	54	54
纽约大学	New York University	美国, 北美洲	计算机科学	2022	57	57
约翰霍普金斯大学	Johns Hopkins University	美国, 北美洲	计算机科学	2022	63	63
普渡大学-西拉法叶	Purdue University, West Lafayette	美国, 北美洲	计算机科学	2022	63	63
北卡罗来纳大学-教堂山	University of North Carolina At Chapel Hill	美国, 北美洲	计算机科学	2022	66	66
密歇根州立大学	Michigan State University	美国, 北美洲	计算机科学	2022	77	77
加州理工学院	California Institute of Technology	美国, 北美洲	计算机科学	2022	79	79
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	计算机科学	2022	85	85
亚利桑那州立大学	Arizona State University	美国, 北美洲	计算机科学	2022	89	89
