大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	QS世界大学排名	2017	1	1
斯坦福大学	Stanford University	美国, 北美洲	QS世界大学排名	2017	2	2
哈佛大学	Harvard University	美国, 北美洲	QS世界大学排名	2017	3	3
剑桥大学	University of Cambridge	英国, 欧洲	QS世界大学排名	2017	4	4
加州理工学院	California Institute of Technology	美国, 北美洲	QS世界大学排名	2017	5	5
牛津大学	University of Oxford	英国, 欧洲	QS世界大学排名	2017	6	6
伦敦大学学院	University College London	英国, 欧洲	QS世界大学排名	2017	7	7
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	QS世界大学排名	2017	8	8
帝国理工学院	Imperial College London	英国, 欧洲	QS世界大学排名	2017	9	9
芝加哥大学	University of Chicago	美国, 北美洲	QS世界大学排名	2017	10	10
普林斯顿大学	Princeton University	美国, 北美洲	QS世界大学排名	2017	11	11
新加坡国立大学	National University of Singapore	新加坡, 亚洲	QS世界大学排名	2017	12	12
南洋理工大学	Nanyang Technological University	新加坡, 亚洲	QS世界大学排名	2017	13	13
洛桑联邦理工学院	Swiss Federal Institute of Technology Lausanne	瑞士, 欧洲	QS世界大学排名	2017	14	14
耶鲁大学	Yale University	美国, 北美洲	QS世界大学排名	2017	15	15
康奈尔大学	Cornell University	美国, 北美洲	QS世界大学排名	2017	16	16
约翰霍普金斯大学	Johns Hopkins University	美国, 北美洲	QS世界大学排名	2017	17	17
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	QS世界大学排名	2017	18	18
爱丁堡大学	The University of Edinburgh	英国, 欧洲	QS世界大学排名	2017	19	19
哥伦比亚大学	Columbia University	美国, 北美洲	QS世界大学排名	2017	20	20
伦敦国王学院	King's College London	英国, 欧洲	QS世界大学排名	2017	21	21
澳大利亚国立大学	The Australian National University	澳大利亚, 大洋洲	QS世界大学排名	2017	22	22
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	QS世界大学排名	2017	23	23
清华大学	Tsinghua University	中国, 亚洲, C9, 双一流, 985, 211, 北京, 综合类, 公立	QS世界大学排名	2017	24	=24
杜克大学	Duke University	美国, 北美洲	QS世界大学排名	2017	24	=24
西北大学，埃文斯顿	Northwestern University	美国, 北美洲	QS世界大学排名	2017	26	26
香港大学	The University of Hong Kong	中国香港, 亚洲	QS世界大学排名	2017	27	27
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	QS世界大学排名	2017	28	28
曼彻斯特大学	The University of Manchester	英国, 欧洲	QS世界大学排名	2017	29	29
麦吉尔大学	Mcgill University	加拿大, 北美洲	QS世界大学排名	2017	30	30
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	QS世界大学排名	2017	31	31
多伦多大学	University of Toronto	加拿大, 北美洲	QS世界大学排名	2017	32	32
巴黎高等师范学校	Ecole Normale Superieure, Paris	法国, 欧洲	QS世界大学排名	2017	33	33
东京大学	The University of Tokyo	日本, 亚洲	QS世界大学排名	2017	34	34
首尔国立大学	Seoul National University	韩国, 亚洲	QS世界大学排名	2017	35	35
香港科技大学	The Hong Kong University of Science And Technology	中国香港, 亚洲	QS世界大学排名	2017	36	36
京都大学	Kyoto University	日本, 亚洲	QS世界大学排名	2017	37	=37
伦敦政治经济学院	London School of Economics And Political Science	英国, 欧洲	QS世界大学排名	2017	37	=37
北京大学	Peking University	中国, 亚洲, C9, 双一流, 985, 211, 北京, 综合类, 公立	QS世界大学排名	2017	39	39
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	QS世界大学排名	2017	40	40
布里斯托尔大学	University of Bristol	英国, 欧洲	QS世界大学排名	2017	41	41
墨尔本大学	The University of Melbourne	澳大利亚, 大洋洲	QS世界大学排名	2017	42	42
复旦大学	Fudan University	中国, 亚洲, C9, 双一流, 985, 211, 上海, 综合类, 公立	QS世界大学排名	2017	43	43
香港中文大学	The Chinese University of Hong Kong	中国香港, 亚洲	QS世界大学排名	2017	44	44
英属哥伦比亚大学	University of British Columbia	加拿大, 北美洲	QS世界大学排名	2017	45	45
悉尼大学	The University of Sydney	澳大利亚, 大洋洲	QS世界大学排名	2017	46	=46
纽约大学	New York University	美国, 北美洲	QS世界大学排名	2017	46	=46
韩国科学技术院	Korea Advanced Institute of Science And Technology	韩国, 亚洲	QS世界大学排名	2017	46	=46
新南威尔士大学	The University of New South Wales	澳大利亚, 大洋洲	QS世界大学排名	2017	49	=49
布朗大学	Brown University	美国, 北美洲	QS世界大学排名	2017	49	=49
昆士兰大学	The University of Queensland	澳大利亚, 大洋洲	QS世界大学排名	2017	51	=51
华威大学	The University of Warwick	英国, 欧洲	QS世界大学排名	2017	51	=51
威斯康星大学-麦迪逊	University of Wisconsin, Madison	美国, 北美洲	QS世界大学排名	2017	53	=53
