大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
剑桥大学	University of Cambridge	英国, 欧洲	QS世界大学排名	2017	4	4
牛津大学	University of Oxford	英国, 欧洲	QS世界大学排名	2017	6	6
伦敦大学学院	University College London	英国, 欧洲	QS世界大学排名	2017	7	7
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	QS世界大学排名	2017	8	8
帝国理工学院	Imperial College London	英国, 欧洲	QS世界大学排名	2017	9	9
洛桑联邦理工学院	Swiss Federal Institute of Technology Lausanne	瑞士, 欧洲	QS世界大学排名	2017	14	14
爱丁堡大学	The University of Edinburgh	英国, 欧洲	QS世界大学排名	2017	19	19
伦敦国王学院	King's College London	英国, 欧洲	QS世界大学排名	2017	21	21
曼彻斯特大学	The University of Manchester	英国, 欧洲	QS世界大学排名	2017	29	29
巴黎高等师范学校	Ecole Normale Superieure, Paris	法国, 欧洲	QS世界大学排名	2017	33	33
伦敦政治经济学院	London School of Economics And Political Science	英国, 欧洲	QS世界大学排名	2017	37	=37
布里斯托尔大学	University of Bristol	英国, 欧洲	QS世界大学排名	2017	41	41
华威大学	The University of Warwick	英国, 欧洲	QS世界大学排名	2017	51	=51
巴黎综合理工学院	Ecole Polytechnique	法国, 欧洲	QS世界大学排名	2017	53	=53
阿姆斯特丹大学	University of Amsterdam	荷兰, 欧洲	QS世界大学排名	2017	57	57
慕尼黑工业大学	Technical University of Munich	德国, 欧洲	QS世界大学排名	2017	60	60
代尔夫特理工大学	Delft University of Technology	荷兰, 欧洲	QS世界大学排名	2017	62	62
格拉斯哥大学	The University of Glasgow	英国, 欧洲	QS世界大学排名	2017	63	=63
慕尼黑大学	University of Munich	德国, 欧洲	QS世界大学排名	2017	68	=68
哥本哈根大学	University of Copenhagen	丹麦, 欧洲	QS世界大学排名	2017	68	=68
海德堡大学	Heidelberg University	德国, 欧洲	QS世界大学排名	2017	72	72
隆德大学	Lund University	瑞典, 欧洲	QS世界大学排名	2017	73	73
杜伦大学	Durham University	英国, 欧洲	QS世界大学排名	2017	74	74
诺丁汉大学	University of Nottingham	英国, 欧洲	QS世界大学排名	2017	75	=75
圣安德鲁斯大学	University of St Andrews	英国, 欧洲	QS世界大学排名	2017	77	77
鲁汶大学，佛兰德语	Ku Leuven	比利时, 欧洲	QS世界大学排名	2017	79	79
苏黎世大学	University of Zurich	瑞士, 欧洲	QS世界大学排名	2017	80	80
伯明翰大学	University of Birmingham	英国, 欧洲	QS世界大学排名	2017	82	82
谢菲尔德大学	The University of Sheffield	英国, 欧洲	QS世界大学排名	2017	84	84
南安普敦大学	University of Southampton	英国, 欧洲	QS世界大学排名	2017	87	87
赫尔辛基大学	University of Helsinki	芬兰, 欧洲	QS世界大学排名	2017	91	91
利兹大学	University of Leeds	英国, 欧洲	QS世界大学排名	2017	93	93
日内瓦大学	University of Geneva	瑞士, 欧洲	QS世界大学排名	2017	95	=95
皇家理工学院	Kth Royal Institute of Technology	瑞典, 欧洲	QS世界大学排名	2017	97	97
乌普萨拉大学	Uppsala University	瑞典, 欧洲	QS世界大学排名	2017	98	=98
都柏林三一学院	Trinity College Dublin	爱尔兰, 欧洲	QS世界大学排名	2017	98	=98
卡尔斯鲁厄理工学院	Karlsruhe Institute of Technology, Kit	德国, 欧洲	QS世界大学排名	2017	98	=98
莱顿大学	Leiden University	荷兰, 欧洲	QS世界大学排名	2017	102	=102
乌得勒支大学	Utrecht University	荷兰, 欧洲	QS世界大学排名	2017	104	=104
莫斯科国立大学	Moscow State University	俄罗斯, 欧洲	QS世界大学排名	2017	108	108
丹麦技术大学	Technical University of Denmark	丹麦, 欧洲	QS世界大学排名	2017	109	109
奥斯陆大学	University of Oslo	挪威, 欧洲	QS世界大学排名	2017	113	=113
