大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	QS世界大学排名	2023	1	1
斯坦福大学	Stanford University	美国, 北美洲	QS世界大学排名	2023	3	3
哈佛大学	Harvard University	美国, 北美洲	QS世界大学排名	2023	5	5
加州理工学院	California Institute of Technology	美国, 北美洲	QS世界大学排名	2023	6	=6
芝加哥大学	University of Chicago	美国, 北美洲	QS世界大学排名	2023	10	10
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	QS世界大学排名	2023	13	13
普林斯顿大学	Princeton University	美国, 北美洲	QS世界大学排名	2023	16	=16
耶鲁大学	Yale University	美国, 北美洲	QS世界大学排名	2023	18	18
康奈尔大学	Cornell University	美国, 北美洲	QS世界大学排名	2023	20	20
哥伦比亚大学	Columbia University	美国, 北美洲	QS世界大学排名	2023	22	22
约翰霍普金斯大学	Johns Hopkins University	美国, 北美洲	QS世界大学排名	2023	24	24
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	QS世界大学排名	2023	25	25
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	QS世界大学排名	2023	27	27
西北大学，埃文斯顿	Northwestern University	美国, 北美洲	QS世界大学排名	2023	32	32
纽约大学	New York University	美国, 北美洲	QS世界大学排名	2023	39	39
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	QS世界大学排名	2023	44	44
杜克大学	Duke University	美国, 北美洲	QS世界大学排名	2023	50	=50
卡内基梅隆大学	Carnegie Mellon University	美国, 北美洲	QS世界大学排名	2023	52	52
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	QS世界大学排名	2023	53	53
布朗大学	Brown University	美国, 北美洲	QS世界大学排名	2023	63	63
德克萨斯州大学-奥斯汀	The University of Texas At Austin	美国, 北美洲	QS世界大学排名	2023	72	72
华盛顿大学-西雅图	University of Washington	美国, 北美洲	QS世界大学排名	2023	80	80
威斯康星大学-麦迪逊	University of Wisconsin, Madison	美国, 北美洲	QS世界大学排名	2023	83	=83
伊利诺伊大学厄巴纳-香槟分校	University of Illinois At Urbana-champaign	美国, 北美洲	QS世界大学排名	2023	85	85
佐治亚理工学院	Georgia Institute of Technology	美国, 北美洲	QS世界大学排名	2023	88	88
