大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
赫尔辛基大学	University of Helsinki	芬兰, 欧洲	QS世界大学排名	2017	91	91
阿尔托大学	Aalto University	芬兰, 欧洲	QS世界大学排名	2017	133	=133
图尔库大学	University of Turku	芬兰, 欧洲	QS世界大学排名	2017	234	234
坦佩雷理工大学	Tampere University of Technology	芬兰, 欧洲	QS世界大学排名	2017	319	319
于韦斯屈莱大学	University of Jyvaskyla	芬兰, 欧洲	QS世界大学排名	2017	338	=338
东芬兰大学	University of Eastern Finland	芬兰, 欧洲	QS世界大学排名	2017	382	=382
奥卢大学	University of Oulu	芬兰, 欧洲	QS世界大学排名	2017	411	411-420
拉普兰塔理工大学	Lappeenranta University of Technology	芬兰, 欧洲	QS世界大学排名	2017	471	471-480
埃博学术大学	Bo Akademi University	芬兰, 欧洲	QS世界大学排名	2017	501	501-550
坦佩雷大学	University of Tampere	芬兰, 欧洲	QS世界大学排名	2017	501	501-550
