大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	计算机科学	2017	1	1
斯坦福大学	Stanford University	美国, 北美洲	计算机科学	2017	2	2
卡内基梅隆大学	Carnegie Mellon University	美国, 北美洲	计算机科学	2017	3	3
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	计算机科学	2017	4	4
剑桥大学	University of Cambridge	英国, 欧洲	计算机科学	2017	5	5
哈佛大学	Harvard University	美国, 北美洲	计算机科学	2017	6	6
牛津大学	University of Oxford	英国, 欧洲	计算机科学	2017	7	7
普林斯顿大学	Princeton University	美国, 北美洲	计算机科学	2017	8	8
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	计算机科学	2017	9	9
新加坡国立大学	National University of Singapore	新加坡, 亚洲	计算机科学	2017	10	=10
多伦多大学	University of Toronto	加拿大, 北美洲	计算机科学	2017	10	=10
帝国理工学院	Imperial College London	英国, 欧洲	计算机科学	2017	12	12
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	计算机科学	2017	13	13
墨尔本大学	The University of Melbourne	澳大利亚, 大洋洲	计算机科学	2017	14	14
清华大学	Tsinghua University	中国, 亚洲, C9, 双一流, 985, 211, 北京, 综合类, 公立	计算机科学	2017	15	15
北京大学	Peking University	中国, 亚洲, C9, 双一流, 985, 211, 北京, 综合类, 公立	计算机科学	2017	16	=16
华盛顿大学-西雅图	University of Washington	美国, 北美洲	计算机科学	2017	16	=16
东京大学	The University of Tokyo	日本, 亚洲	计算机科学	2017	18	18
香港科技大学	The Hong Kong University of Science And Technology	中国香港, 亚洲	计算机科学	2017	19	19
南洋理工大学	Nanyang Technological University	新加坡, 亚洲	计算机科学	2017	20	20
康奈尔大学	Cornell University	美国, 北美洲	计算机科学	2017	21	=21
爱丁堡大学	The University of Edinburgh	英国, 欧洲	计算机科学	2017	21	=21
英属哥伦比亚大学	University of British Columbia	加拿大, 北美洲	计算机科学	2017	23	23
洛桑联邦理工学院	Swiss Federal Institute of Technology Lausanne	瑞士, 欧洲	计算机科学	2017	24	=24
香港大学	The University of Hong Kong	中国香港, 亚洲	计算机科学	2017	24	=24
德克萨斯州大学-奥斯汀	The University of Texas At Austin	美国, 北美洲	计算机科学	2017	26	26
加州理工学院	California Institute of Technology	美国, 北美洲	计算机科学	2017	27	27
佐治亚理工学院	Georgia Institute of Technology	美国, 北美洲	计算机科学	2017	28	28
哥伦比亚大学	Columbia University	美国, 北美洲	计算机科学	2017	29	29
伊利诺伊大学厄巴纳-香槟分校	University of Illinois At Urbana-champaign	美国, 北美洲	计算机科学	2017	30	30
滑铁卢大学	University of Waterloo	加拿大, 北美洲	计算机科学	2017	31	31
纽约大学	New York University	美国, 北美洲	计算机科学	2017	32	32
韩国科学技术院	Korea Advanced Institute of Science And Technology	韩国, 亚洲	计算机科学	2017	33	33
耶鲁大学	Yale University	美国, 北美洲	计算机科学	2017	34	34
香港中文大学	The Chinese University of Hong Kong	中国香港, 亚洲	计算机科学	2017	35	35
澳大利亚国立大学	The Australian National University	澳大利亚, 大洋洲	计算机科学	2017	36	36
伦敦大学学院	University College London	英国, 欧洲	计算机科学	2017	37	37
首尔国立大学	Seoul National University	韩国, 亚洲	计算机科学	2017	38	38
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	计算机科学	2017	39	39
慕尼黑工业大学	Technical University of Munich	德国, 欧洲	计算机科学	2017	40	40
台湾大学	National Taiwan University	中国台湾, 亚洲	计算机科学	2017	41	41
新南威尔士大学	The University of New South Wales	澳大利亚, 大洋洲	计算机科学	2017	42	42
悉尼大学	The University of Sydney	澳大利亚, 大洋洲	计算机科学	2017	43	43
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	计算机科学	2017	44	44
上海交通大学	Shanghai Jiao Tong University	中国, 亚洲, C9, 双一流, 985, 211, 上海, 综合类, 公立	计算机科学	2017	45	45
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	计算机科学	2017	46	46
马里兰大学-大学城	University of Maryland, College Park	美国, 北美洲	计算机科学	2017	47	47
莫斯科国立大学	Moscow State University	俄罗斯, 欧洲	计算机科学	2017	48	48
米兰理工大学	Polytechnic Institute of Milan	意大利, 欧洲	计算机科学	2017	49	49
南加州大学	University of Southern California	美国, 北美洲	计算机科学	2017	50	50
