大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
牛津大学	University of Oxford	英国, 欧洲	计算机科学	2021	6	6
剑桥大学	University of Cambridge	英国, 欧洲	计算机科学	2021	8	8
洛桑联邦理工学院	Swiss Federal Institute of Technology Lausanne	瑞士, 欧洲	计算机科学	2021	9	9
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	计算机科学	2021	10	10
帝国理工学院	Imperial College London	英国, 欧洲	计算机科学	2021	16	16
伦敦大学学院	University College London	英国, 欧洲	计算机科学	2021	23	=23
爱丁堡大学	The University of Edinburgh	英国, 欧洲	计算机科学	2021	26	26
慕尼黑工业大学	Technical University of Munich	德国, 欧洲	计算机科学	2021	35	=35
巴黎文理研究大学	Université Psl	法国, 欧洲	计算机科学	2021	35	=35
阿姆斯特丹大学	University of Amsterdam	荷兰, 欧洲	计算机科学	2021	40	40
皇家理工学院	Kth Royal Institute of Technology	瑞典, 欧洲	计算机科学	2021	42	42
米兰理工大学	Polytechnic Institute of Milan	意大利, 欧洲	计算机科学	2021	44	=44
巴黎综合理工学院	Ecole Polytechnique	法国, 欧洲	计算机科学	2021	55	=55
鲁汶大学，佛兰德语	Ku Leuven	比利时, 欧洲	计算机科学	2021	55	=55
索邦大学	Sorbonne University	法国, 欧洲	计算机科学	2021	57	57
莫斯科国立大学	Moscow State University	俄罗斯, 欧洲	计算机科学	2021	58	58
伦敦国王学院	King's College London	英国, 欧洲	计算机科学	2021	62	=62
埃因霍温工业大学	Eindhoven University of Technology	荷兰, 欧洲	计算机科学	2021	64	=64
巴黎高等电信学院	Telecom Paris	法国, 欧洲	计算机科学	2021	64	=64
曼彻斯特大学	The University of Manchester	英国, 欧洲	计算机科学	2021	66	66
法国巴黎中央理工-高等电力学院	Centralesupelec	法国, 欧洲	计算机科学	2021	71	71
代尔夫特理工大学	Delft University of Technology	荷兰, 欧洲	计算机科学	2021	72	72
柏林工业大学	Technical University of Berlin	德国, 欧洲	计算机科学	2021	73	73
圣彼得堡国立信息技术、机械与光学大学	Itmo University	俄罗斯, 欧洲	计算机科学	2021	74	74
慕尼黑大学	University of Munich	德国, 欧洲	计算机科学	2021	79	=79
亚琛工业大学	Rwth Aachen University	德国, 欧洲	计算机科学	2021	79	=79
加泰罗尼亚理工大学	Polytechnic University of Catalonia	西班牙, 欧洲	计算机科学	2021	79	=79
罗马第一大学	Sapienza University of Rome	意大利, 欧洲	计算机科学	2021	84	=84
维也纳工业大学	Vienna University of Technology	奥地利, 欧洲	计算机科学	2021	89	=89
都柏林三一学院	Trinity College Dublin	爱尔兰, 欧洲	计算机科学	2021	89	=89
卡尔斯鲁厄理工学院	Karlsruhe Institute of Technology, Kit	德国, 欧洲	计算机科学	2021	92	=92
阿尔托大学	Aalto University	芬兰, 欧洲	计算机科学	2021	96	=96
华威大学	The University of Warwick	英国, 欧洲	计算机科学	2021	96	=96
鲁汶大学，法语	Catholic University of Louvain	比利时, 欧洲	计算机科学	2021	96	=96
奥胡斯大学	Aarhus University	丹麦, 欧洲	计算机科学	2021	99	=99
都灵理工大学	Polytechnic University of Turin	意大利, 欧洲	计算机科学	2021	103	=103
博洛尼亚大学	University of Bologna	意大利, 欧洲	计算机科学	2021	120	=120
比萨大学	University of Pisa	意大利, 欧洲	计算机科学	2021	120	=120
苏黎世大学	University of Zurich	瑞士, 欧洲	计算机科学	2021	120	=120
马德里理工大学	Polytechnic University of Madrid	西班牙, 欧洲	计算机科学	2021	125	125
达姆施塔特工业大学	Technical University Darmstadt	德国, 欧洲	计算机科学	2021	128	128
哥本哈根大学	University of Copenhagen	丹麦, 欧洲	计算机科学	2021	129	=129
阿姆斯特丹自由大学	Vu University Amsterdam	荷兰, 欧洲	计算机科学	2021	132	=132
查尔姆斯理工大学	Chalmers University of Technology	瑞典, 欧洲	计算机科学	2021	136	=136
巴塞罗那大学	University of Barcelona	西班牙, 欧洲	计算机科学	2021	136	=136
伦敦政治经济学院	London School of Economics And Political Science	英国, 欧洲	计算机科学	2021	139	=139
柏林洪堡大学	Humboldt University of Berlin	德国, 欧洲	计算机科学	2021	141	=141
雅典国家技术大学	National Technical University of Athens	希腊, 欧洲	计算机科学	2021	143	=143
兰卡斯特大学	Lancaster University	英国, 欧洲	计算机科学	2021	145	=145
马德里卡洛斯三世大学	Universidad Carlos Iii De Madrid	西班牙, 欧洲	计算机科学	2021	145	=145
布里斯托尔大学	University of Bristol	英国, 欧洲	计算机科学	2021	145	=145
格拉斯哥大学	The University of Glasgow	英国, 欧洲	计算机科学	2021	148	=148
